1, 1, ഗവ. വൊക്കേഷണൽ ഹയർസെക്കൻഡറി സ്കൂൾ കുഞ്ചത്തൂർ (കിഴക്കൻ കെട്ടിടത്തിന്റെ വടക്കുവശം)
1, 2, ഗവ. വൊക്കേഷണൽ ഹയർസെക്കൻഡറി സ്കൂൾ കുഞ്ചത്തൂർ (കിഴക്കൻ കെട്ടിടം തെക്ക് ഭാഗം)
1, 3, ഗവ. വൊക്കേഷണൽ ഹയർസെക്കൻഡറി സ്കൂൾ കുഞ്ചത്തൂർ തെക്കൻ കെട്ടിടം
1, 4, വിദ്യോദയ എഎൽപി സ്കൂൾ പാവൂർ
1, 5," ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ കൺവതീർഥപട്വ്, കുഞ്ചത്തൂർ (പുതിയ കെട്ടിടത്തിന്റെ മധ്യഭാഗം തെക്ക് വശം)"
1, 6," ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ, കുഞ്ചത്തൂർ (തെക്കേ കെട്ടിടത്തിന്റെ കിഴക്ക് ഭാഗം)"
1, 7, ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ കുഞ്ചത്തൂർ (തെക്കേ കെട്ടിടത്തിന്റെ പടിഞ്ഞാറ് ഭാഗം)
1, 8, മാട അങ്കണവാടി (മാസ്കോ ഹാളിന് സമീപം)
1, 9, ഉദ്യാവര ഭഗവതി എഎൽപി സ്കൂൾ കൺവതീർത്ഥ
1, 10, ഗവ. മുസ്ലീം ലോവർ പ്രൈമറി സ്കൂൾ ഉദ്യവാരത്തോട്ട (വടക്ക് വശം)
1, 11, ഗവ. മുസ്ലീം ലോവർ പ്രൈമറി സ്കൂൾ ഉദ്യവാരത്തോട്ട (തെക്ക് വശം)
1, 12, ഗവ. ഹൈസ്കൂൾ ഉദ്യാവാര ഗുഡ്ഡെ (കിഴക്ക് വശം)
1, 13,ഗവ. ഹൈസ്കൂൾ ഉദ്യാവാര ഗുഡ്ഡെ (പടിഞ്ഞാറ് ഭാഗം)
1, 14," ഗവ. LPS ഉദ്യാവര, റെയിൽവേഗേറ്റിന് സമീപം മഞ്ചേശ്വരം (കിഴക്ക് ഭാഗം)"
1, 15," ഗവ. LPS ഉദ്യാവര, റെയിൽവേഗേറ്റിന് സമീപം മഞ്ചേശ്വരം (പടിഞ്ഞാറ് ഭാഗത്തെ കെട്ടിടം)"
1, 16, ഗോവിന്ദപൈ മെമ്മോറിയൽ ഗവ.കോളേജ് മഞ്ചേശ്വരം (പശ്ചിമ ബിൽഡിംഗ് സതേൺ സൈഡ്)
1, 17, ഗോവിന്ദപൈ മെമ്മോറിയൽ ഗവ.കോളേജ് മഞ്ചേശ്വരം (പടിഞ്ഞാറൻ ബിൽഡിംഗ് ഈസ്റ്റേൺ സൈഡ്)
1, 18, ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ ബഡാജെ (കിഴക്ക് വശം)
1, 19, ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ ബഡാജെ (പടിഞ്ഞാറ് ഭാഗം)
1, 20," എസ്‌സി കമ്മ്യൂണിറ്റി ഹാൾ ഇടിയ, ബഡാജെ"
1, 21, ഗവ. മുസ്ലിം ലോവർ പ്രൈമറി സ്കൂൾ ഹൊസബെട്ടു (കിഴക്കൻ കെട്ടിടം)
1, 22, ഗവ. മുസ്ലീം ലോവർ പ്രൈമറി സ്കൂൾ ഹൊസബെട്ടു (സതേൺ സൈഡ് ബിൽഡിംഗ്)
1, 23, SATHS മഞ്ചേശ്വരം (നോർത്തേൺ സൈഡ് ബിൽഡിംഗ്)
1, 24, SATHS മഞ്ചേശ്വരം (കിഴക്ക് വശം)
1, 25, SATLP സ്കൂൾ മഞ്ചേശ്വരം (പടിഞ്ഞാറ് ഭാഗം)
1, 26, ഗവ. ഹൈസ്കൂൾ ബംഗാര മഞ്ചേശ്വരം (കിഴക്കൻ ഭാഗത്തെ തെക്കൻ കെട്ടിടം)
1, 27,"ഗവ. ഹൈസ്കൂൾ ബംഗാര മഞ്ചേശ്വരം (പുതിയ കെട്ടിടം, സതേൺ ബ്ലോക്ക്)"
1, 28, ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ വാമഞ്ഞൂർ (കിഴക്ക് ഭാഗത്തെ കെട്ടിടം)
1, 29," ഗവ. ലോവർ പ്രൈമറി സ്കൂൾ, വാമഞ്ഞൂർ (ഈസ്റ്റ് വെസ്റ്റ് പുതിയ കെട്ടിടം)."
1, 30, എംജിഎൽസി കെടുമ്പടയ്
